image,score,title
https://p0.meituan.net/movie/9d85ed2346a86185a8525c7144b7a9281258683.jpg@160w_220h_1e_1c,7.6,好小子，好功夫
https://p1.meituan.net/movie/a57d7a0430609ba31bccaf02171980a71044143.jpg@160w_220h_1e_1c,7.6,哈姆雷特
https://p0.meituan.net/movie/98ec15506b1799c19b3ddff194ecf2c2893105.jpg@160w_220h_1e_1c,7.6,监护风云
https://p1.meituan.net/movie/1aa17b26ec04c3c67c3ae6c491da1e57436141.jpg@160w_220h_1e_1c,8.8,旋风女队
https://p1.meituan.net/movie/10ee0ce76ceb70ed6eb4d769acf409dc692044.png@160w_220h_1e_1c,8.8,李尔王
https://p0.meituan.net/movie/4dd9f97d378ada5b76e046bd9272e4111021471.jpg@160w_220h_1e_1c,9.1,第十二夜
https://p0.meituan.net/moviemachine/c8cea170539f4e24ffb2f93838795fb5984843.jpg@160w_220h_1e_1c,7.6,苍之乱
https://p0.meituan.net/movie/2bc4c65cc2aff3ee991e072e03944dca45549.jpg@160w_220h_1e_1c,8.3,理查二世
https://p0.meituan.net/moviemachine/7e53765643551c06d08679e8f3bb676611217959.png@160w_220h_1e_1c,8.3,温莎的风流娘儿们
https://p0.meituan.net/moviemachine/65cc7ffd05a853d155a963b14212b2c9117530.png@160w_220h_1e_1c,8.3,裘力斯·凯撒
https://p1.meituan.net/movie/cd09b6e37a4534532fa7dbeefca1de5287093.jpg@160w_220h_1e_1c,8.3,五右卫门摇滚2：蔷薇与武士
https://p0.meituan.net/moviemachine/58538f35365f5bb76d79da454cb2b43d56858.png@160w_220h_1e_1c,8.0,骷髅城的七人
https://p1.meituan.net/moviemachine/969490aee4db2a965927ce693c14afb098269.png@160w_220h_1e_1c,NoneNone,威尼斯商人
https://p0.meituan.net/movie/1cfc2a0b6fe9e042749d8efc7cd37bc4157310.jpg@160w_220h_1e_1c,NoneNone,五右卫门摇滚3：三浦春马篇
